分拣中心,序号,物流,线路/目的地,电话
2号 分拣,20号,姚江物流,余姚 慈溪->临沂,0539-2986669
2号 分拣,22号,益恒大洋物流,义务<->临沂,15505493987 / 13953952633
2号 分拣,26号,荣顺物流,张家口 乌兰察布 锡林浩特市,17753968787
2号 分拣,27号,荣顺物流,呼市 包头 巴彦卓尔,18053989697
2号 分拣,28号,荣顺物流,赤峰 通辽 呼和浩特,18053987608
2号 分拣,29号,荣顺物流,昆明 贵阳,15305399516
2号 分拣,30号,荣顺物流,新疆全境,18053987603
2号 分拣,31号,长运物流,诸城 五莲,13666396665
2号 分拣,33号,海鹏（平顺）物流,莱阳 邹城,0539-2113382 / 15562175088
2号 分拣,35号,海鹏（平顺）物流,,0539-2113382 / 15562175088
4号 分拣,32号,双龙物流,葫朝锦阜 芦 岛阳州新,15550498898
4号 分拣,31号,双龙物流,盘营鞍 锦口山,15550498898
4号 分拣,30号,国力物流,临沂<->拉萨 日喀则 山南 那曲 阿里,18653995365 / 19853868333
4号 分拣,29号,国力物流,西藏全境,18653995365 / 19853868333
4号 分拣,28号,国力物流,临沂-->博乐 双河 ？？阿拉山口,15853855568 / 18653995365
4号 分拣,27号,国力物流,新疆 乌鲁木齐 伊宁 霍尔果斯,18653995365 / 15853655553
4号 分拣,19号,双龙物流,到货分拣中心,19969978898 / 15562908898 / 15318578898
4号 分拣,23号,双龙物流,松白洮镇通乌延珲敦 兰 浩 原城南贲榆特吉春化,15689608898
4号 分拣,22号,双龙物流,吉磐桦蛟舒永林 市石甸河兰吉,15689608898
4号 分拣,20号,双龙物流,长农榆德扶辽通白梅 春安树惠余源化山河 口,15689608898
4号 分拣,21号,双龙物流,长农榆德扶辽通白梅 春安树惠余源化山河 口,15689608898
4号 分拣,19号,飞腾物流,延边专线 敦化 延吉 珲春,15318578898
4号 分拣,16号,双龙物流,哈肇肇肇富望同海 尔 滨源东州锦奎江伦,15265198898
4号 分拣,15号,双龙物流,哈嫩依巴安兰绥明 尔 滨江兰彦达西化水,15265198898
4号 分拣,14号,双龙物流,哈呼尚双鹤黑伊大 尔 鸭 兴 滨兰志山岗河春安 岭,15265198898
4号 分拣,13号,双龙物流,佳 尔 斯,15265198898
4号 分拣,12号,双龙物流,牡绥东鸡七 丹芬 台 江河宁西河,18660948898
4号 分拣,11号,双龙物流,牡绥东鸡七 丹芬 台 江河宁西河,18660948898
4号 分拣,10号,双龙物流,齐龙泰扎 齐 赉 哈 特 尔江来旗,18660948898
4号 分拣,9号,双龙物流,大 大同区 红岗区 杜尔伯特蒙古自治县 庆 林甸 安达 林源镇 泰康镇 太阳升镇,18660948898
4号 分拣,8号,双龙物流,海满牙扎 拉洲克兰 尔里石屯,18660948898
4号 分拣,7号,双龙物流,蒙利泗 城辛县,18660948898
4号 分拣,6号,双龙物流,赤通 峰辽,17353918898
4号 分拣,5号,双龙物流,四公双梨 主 平岭辽数,17353918898
4号 分拣,4号,双龙物流,沈抚本辽铁鞍阜 阳顺溪阳岭山新,17353918898
4号 分拣,3号,双龙物流,沈抚本辽铁鞍 阳顺溪阳岭山,17353918898
4号 分拣,2号,双龙物流,大庄丹普瓦 兰房 连河东店点,17353918898
6号 分拣,34号,中大运和,杭州 临平 萧山 富阳 ：,0539-7508888 / 13355031333
6号 分拣,33号,中大运和,临安 桐庐 建德 湖州 ：,0539-7508888 / 13355031333
6号 分拣,32号,中大运和,长兴 南浔 安吉 德清 ：,0539-7508888 / 13355031333
6号 分拣,31号,中大运和,嘉兴 桐乡海宁 嘉善 ：,0539-7508888 / 13355031333
6号 分拣,30号,中大运和,绍兴 柯桥 新昌 嵊州 ：,0539-7508888 / 13355031333
6号 分拣,29号,中大运和,宁波 奉化 宁海 象山 ：,0539-7508888 / 13355031333
6号 分拣,28号,中大运和,慈溪 余姚 北仑 舟山 ：,0539-7508888 / 13355031333
6号 分拣,27号,中大运和,永康 兰溪 诸暨 ：,0539-7508888 / 13355031333
6号 分拣,26号,中大运和,义乌 东阳 衢州 龙游 ：,0539-7508888 / 13355031333
6号 分拣,25号,中大运和,台州 天台 临海 温岭 ：,0539-7508888 / 13355031333
6号 分拣,24号,中大运和,苍南 龙港 丽水 缙云 ：,0539-7508888 / 13355031333
6号 分拣,23号,中大运和,分拨中心23号 温州 乐清 永嘉 瑞安 ：,0539-7508888 / 13355031333
6号 分拣,22号,中大运和,福州 泉州 厦门 漳州 ：,0539-7508888 / 13355031333
